Tanggal;Hari;Jam;download ;latency;packet_loss;jitter;sit_person
23/06/2025;Senin;09.00;46,4;1045;0;93;6
23/06/2025;Senin;09.00;60,2;782;0;86;5
23/06/2025;Senin;09.00;63,9;628;0;96;4
23/06/2025;Senin;09.00;58,3;561;0;91;4
23/06/2025;Senin;09.00;67,4;1228;0;103;5
23/06/2025;Senin;13.00;61,3;32;0;14;3
23/06/2025;Senin;13.00;46,2;913;0;102;5
23/06/2025;Senin;13.00;50,2;1219;0;99;6
23/06/2025;Senin;13.00;50,2;1280;0;102;6
23/06/2025;Senin;13.00;55,1;1222;0;96;6
23/06/2025;Senin;17.00;33,2;903;0;98;6
23/06/2025;Senin;17.00;69,4;988;0;96;5
23/06/2025;Senin;17.00;87,1;824;0;92;4
23/06/2025;Senin;17.00;73,2;1209;0;96;5
23/06/2025;Senin;17.00;67,3;1188;0;98;5
24/06/2025;Selasa;09.00;77,6;954;0;84;4
24/06/2025;Selasa;09.00;72,7;892;0;100;4
24/06/2025;Selasa;09.00;78,3;1221;0;95;5
24/06/2025;Selasa;09.00;90,3;921;0;92;4
24/06/2025;Selasa;09.00;87,6;973;0;89;4
24/06/2025;Selasa;13.00;54,8;1135;0;96;6
24/06/2025;Selasa;13.00;39,9;1154;0;98;6
24/06/2025;Selasa;13.00;35,7;1277;0;100;6
24/06/2025;Selasa;13.00;36,9;1114;0;86;6
24/06/2025;Selasa;13.00;42,4;979;0;89;6
24/06/2025;Selasa;17.00;10,2;1221;0;94;7
24/06/2025;Selasa;17.00;22,8;1186;0;89;7
24/06/2025;Selasa;17.00;9,34;1325;0;98;7
24/06/2025;Selasa;17.00;10,8;1186;0;92;7
24/06/2025;Selasa;17.00;24,7;1195;0;97;7
25/06/2025;Rabu;09.00;29,4;968;0,4;90;6
25/06/2025;Rabu;09.00;34,1;926;0;112;6
25/06/2025;Rabu;09.00;50,4;1187;0;93;6
25/06/2025;Rabu;09.00;62,7;1147;0,36;94;5
25/06/2025;Rabu;09.00;69,2;1296;0;96;6
25/06/2025;Rabu;13.00;38,5;1004;0;91;6
25/06/2025;Rabu;13.00;34,1;1127;0;90;6
25/06/2025;Rabu;13.00;65,4;767;0;149;4
25/06/2025;Rabu;13.00;62,5;893;0;125;5
25/06/2025;Rabu;13.00;68,5;872;0;97;5
25/06/2025;Rabu;17.00;91,7;935;0;96;4
25/06/2025;Rabu;17.00;88,3;927;0;93;4
25/06/2025;Rabu;17.00;93,5;760;0;88;4
25/06/2025;Rabu;17.00;101;279;0;73;2
25/06/2025;Rabu;17.00;91,3;506;0;79;3
26/06/2025;Kamis;09.00;36,5;1140;0;94;6
26/06/2025;Kamis;09.00;77,3;1213;0,36;96;5
26/06/2025;Kamis;09.00;58,8;1054;0;90;5
26/06/2025;Kamis;09.00;62,1;827;0;78;5
26/06/2025;Kamis;09.00;78,9;1091;0;93;5
26/06/2025;Kamis;13.00;59,9;900;0;92;5
26/06/2025;Kamis;13.00;31,9;1016;0;81;6
26/06/2025;Kamis;13.00;59,5;984;0;93;5
26/06/2025;Kamis;13.00;46,9;1315;0;97;6
26/06/2025;Kamis;13.00;53,9;940;0;92;5
26/06/2025;Kamis;17.00;80,4;771;0;98;4
26/06/2025;Kamis;17.00;37,9;744;0;89;5
26/06/2025;Kamis;17.00;67,8;1512;0;97;6
26/06/2025;Kamis;17.00;52,2;833;0;88;5
26/06/2025;Kamis;17.00;46;1094;0;92;6
27/06/2025;Jumat;09.00;50,4;689;0;93;5
27/06/2025;Jumat;09.00;52;784;0;100;5
27/06/2025;Jumat;09.00;61,6;1346;0;101;6
27/06/2025;Jumat;09.00;46,9;645;0;99;5
27/06/2025;Jumat;09.00;52,5;912;0;91;5
27/06/2025;Jumat;13.00;54,7;1190;0;90;6
27/06/2025;Jumat;13.00;51,2;1067;0;83;5
27/06/2025;Jumat;13.00;85,6;1149;0;91;5
27/06/2025;Jumat;13.00;86;866;0;100;4
27/06/2025;Jumat;13.00;51,6;980;0;91;5
27/06/2025;Jumat;17.00;95,7;43;0;19;2
27/06/2025;Jumat;17.00;40,7;970;0;103;6
27/06/2025;Jumat;17.00;45,8;1111;0;91;6
27/06/2025;Jumat;17.00;47;1119;0;95;6
27/06/2025;Jumat;17.00;49,3;879;0;80;5
